Age,Tenure_Months,Monthly_Charges,Total_Charges,Num_Products,Support_Calls,Satisfaction_Score,Contract_Type,Payment_Method,Internet_Service,Churn
20,29,55.43,1559.91,2,0,1,Month-to-Month,Credit Card,DSL,1
56,57,30.53,1710.02,1,0,1,Month-to-Month,Mailed Check,Fiber Optic,0
23,39,42.24,1627.71,2,3,1,Month-to-Month,Electronic Check,Fiber Optic,0
25,56,71.92,3991.47,1,3,3,One Year,Bank Transfer,No,0
44,43,80.78,3465.9,2,4,4,Month-to-Month,Mailed Check,Fiber Optic,0
26,50,44.54,2302.41,1,2,3,One Year,Credit Card,DSL,1
54,23,25.77,562.84,2,0,3,Month-to-Month,Bank Transfer,Fiber Optic,0
50,44,59.1,2576.02,1,2,5,Month-to-Month,Bank Transfer,Fiber Optic,0
68,38,43.42,1672.95,2,3,4,Month-to-Month,Bank Transfer,DSL,0
59,23,41.96,956.34,1,2,4,One Year,Mailed Check,Fiber Optic,1
61,45,115.99,5153.09,3,1,3,One Year,Bank Transfer,No,0
41,52,81.63,4241.7,3,2,2,Month-to-Month,Electronic Check,No,0
32,50,75.69,3779.56,1,2,1,Month-to-Month,Credit Card,Fiber Optic,1
49,8,61.58,541.42,2,1,2,One Year,Mailed Check,Fiber Optic,1
49,1,62.89,14.28,1,1,3,Two Year,Mailed Check,DSL,0
41,8,74.09,641.84,1,4,4,Month-to-Month,Bank Transfer,Fiber Optic,0
58,29,89.64,2594.67,2,2,1,One Year,Credit Card,Fiber Optic,1
69,5,90.21,395.65,2,4,2,Month-to-Month,Bank Transfer,Fiber Optic,1
66,47,37.17,1681.55,2,1,2,Month-to-Month,Bank Transfer,DSL,1
66,34,70.01,2477.06,1,1,4,Month-to-Month,Mailed Check,No,1
69,65,61.2,3970.0,1,3,4,One Year,Electronic Check,No,0
29,55,107.05,5934.58,1,2,4,Month-to-Month,Credit Card,Fiber Optic,1
56,43,83.14,3489.61,2,1,3,Two Year,Credit Card,DSL,0
19,30,73.25,2329.38,2,1,3,One Year,Credit Card,DSL,0
20,17,31.54,580.84,2,1,1,Two Year,Credit Card,DSL,0
66,26,80.56,2081.79,1,1,2,Month-to-Month,Electronic Check,Fiber Optic,1
54,8,31.72,238.45,1,0,5,Month-to-Month,Mailed Check,DSL,0
66,47,53.72,2561.57,1,3,5,Two Year,Electronic Check,No,0
34,46,34.28,1610.74,1,4,4,One Year,Bank Transfer,No,0
66,68,89.21,6075.41,1,1,5,Two Year,Mailed Check,Fiber Optic,0
19,33,40.63,1341.33,3,3,4,Month-to-Month,Electronic Check,Fiber Optic,0
19,1,59.19,87.24,3,0,1,Month-to-Month,Credit Card,Fiber Optic,0
45,19,109.57,1994.74,2,3,5,One Year,Credit Card,No,0
40,31,40.43,1234.77,2,1,1,Month-to-Month,Mailed Check,No,0
54,14,70.78,908.58,1,2,4,One Year,Electronic Check,DSL,1
49,53,61.93,3312.52,3,3,3,Month-to-Month,Mailed Check,DSL,1
50,48,21.81,1013.09,1,2,3,Month-to-Month,Credit Card,Fiber Optic,0
18,69,99.28,6771.74,4,1,4,Month-to-Month,Electronic Check,Fiber Optic,0
36,62,26.9,1628.11,2,1,3,Month-to-Month,Credit Card,DSL,0
19,66,67.43,4457.85,1,2,3,Month-to-Month,Mailed Check,Fiber Optic,1
61,64,76.07,4858.22,4,1,3,One Year,Mailed Check,No,0
43,70,82.84,5740.14,1,2,3,Month-to-Month,Mailed Check,DSL,1
49,63,88.86,5512.94,2,2,5,Month-to-Month,Mailed Check,No,0
23,33,45.33,1499.59,2,3,4,Two Year,Mailed Check,DSL,0
49,41,21.0,831.96,1,5,3,Month-to-Month,Bank Transfer,No,0
21,48,92.34,4419.42,2,2,2,Month-to-Month,Mailed Check,Fiber Optic,1
28,13,73.57,948.43,2,2,4,One Year,Mailed Check,DSL,0
34,31,103.61,3233.41,2,1,2,Two Year,Credit Card,Fiber Optic,0
55,68,102.14,6987.87,1,4,2,Month-to-Month,Mailed Check,No,1
41,4,104.33,424.65,4,2,3,Month-to-Month,Electronic Check,No,1
22,19,68.51,1285.67,1,2,5,One Year,Mailed Check,Fiber Optic,0
69,70,53.36,3736.44,1,0,2,Month-to-Month,Bank Transfer,Fiber Optic,0
51,13,99.16,1272.12,1,1,2,One Year,Mailed Check,Fiber Optic,0
23,23,65.13,1415.86,1,1,3,Two Year,Credit Card,Fiber Optic,0
39,1,38.34,92.94,1,1,3,Two Year,Electronic Check,No,1
28,54,105.5,5742.17,4,2,4,Month-to-Month,Electronic Check,DSL,0
65,71,108.26,7785.88,1,3,3,Month-to-Month,Mailed Check,DSL,1
33,15,66.63,1113.47,1,3,3,Two Year,Mailed Check,Fiber Optic,0
50,65,27.57,1733.25,1,4,2,Month-to-Month,Mailed Check,DSL,0
26,71,58.78,4156.61,2,3,2,Month-to-Month,Mailed Check,No,0
23,15,100.35,1630.83,3,1,4,One Year,Credit Card,Fiber Optic,0
33,21,110.18,2311.75,1,3,5,Month-to-Month,Credit Card,Fiber Optic,0
46,19,40.35,778.86,1,1,2,Month-to-Month,Electronic Check,No,1
20,60,26.7,1525.94,1,2,2,Two Year,Mailed Check,Fiber Optic,0
37,33,107.74,3562.93,1,0,1,Month-to-Month,Credit Card,Fiber Optic,0
53,49,58.94,2984.66,1,1,4,Month-to-Month,Credit Card,DSL,0
36,35,74.18,2660.63,2,1,4,Month-to-Month,Electronic Check,Fiber Optic,1
43,44,116.81,5109.14,1,4,3,One Year,Electronic Check,DSL,1
20,11,26.66,273.44,2,1,4,Month-to-Month,Bank Transfer,Fiber Optic,1
36,66,84.83,5542.23,1,2,4,Month-to-Month,Credit Card,Fiber Optic,1
37,46,27.41,1218.3,4,2,5,One Year,Electronic Check,DSL,0
49,9,57.55,422.44,4,1,1,Two Year,Credit Card,Fiber Optic,1
24,3,100.38,296.9,2,3,2,Month-to-Month,Credit Card,DSL,1
69,26,63.35,1722.61,1,4,1,Two Year,Mailed Check,No,0
58,48,119.72,5764.33,1,0,5,Month-to-Month,Mailed Check,DSL,1
50,66,75.91,5078.37,2,2,4,One Year,Mailed Check,No,0
57,70,52.12,3702.06,2,2,4,Month-to-Month,Mailed Check,Fiber Optic,0
56,28,42.01,1148.94,2,5,1,Month-to-Month,Credit Card,Fiber Optic,1
35,26,55.05,1393.32,3,2,3,One Year,Bank Transfer,DSL,1
57,25,57.25,1395.19,4,2,3,Month-to-Month,Bank Transfer,No,1
18,12,26.87,236.59,1,4,4,Month-to-Month,Bank Transfer,DSL,0
28,5,56.96,286.42,2,1,3,Month-to-Month,Credit Card,Fiber Optic,1
45,48,66.42,3042.94,1,4,1,One Year,Bank Transfer,No,0
42,37,92.27,3443.56,1,3,4,Month-to-Month,Credit Card,No,1
67,44,85.67,3773.07,2,6,3,Month-to-Month,Electronic Check,Fiber Optic,0
40,15,90.88,1386.77,1,0,3,Month-to-Month,Bank Transfer,No,0
48,43,20.84,948.97,3,3,2,Month-to-Month,Credit Card,Fiber Optic,0
47,48,41.77,2014.9,1,1,4,Month-to-Month,Electronic Check,DSL,0
59,70,86.17,6113.48,2,1,4,Month-to-Month,Mailed Check,Fiber Optic,0
52,46,68.4,3177.5,2,2,5,Month-to-Month,Electronic Check,DSL,0
24,43,20.53,844.93,2,2,3,Month-to-Month,Electronic Check,Fiber Optic,0
33,21,100.45,2097.56,1,1,5,One Year,Bank Transfer,Fiber Optic,0
43,23,97.28,2124.38,3,2,5,One Year,Mailed Check,Fiber Optic,0
65,47,74.84,3472.37,2,3,4,Two Year,Mailed Check,DSL,0
69,15,26.65,380.7,2,2,5,Month-to-Month,Bank Transfer,No,0
66,25,96.65,2443.56,1,2,3,Two Year,Electronic Check,DSL,1
19,36,78.37,2783.8,2,4,3,Month-to-Month,Credit Card,No,0
18,51,98.2,4945.89,3,1,1,Two Year,Bank Transfer,No,0
65,15,95.17,1333.17,2,0,4,Month-to-Month,Electronic Check,No,1
29,68,100.3,6790.58,3,3,4,Month-to-Month,Credit Card,No,1
22,21,71.8,1605.34,2,2,4,Month-to-Month,Bank Transfer,DSL,1
54,13,34.03,455.95,1,5,2,Month-to-Month,Bank Transfer,Fiber Optic,0
49,19,87.12,1702.26,1,3,3,Two Year,Mailed Check,DSL,0
26,34,82.05,2744.7,1,7,2,One Year,Mailed Check,DSL,0
58,68,94.23,6328.97,2,1,4,Two Year,Mailed Check,Fiber Optic,0
52,52,36.99,1862.43,3,4,2,One Year,Credit Card,DSL,0
36,27,39.5,1061.64,1,1,5,Month-to-Month,Bank Transfer,No,1
65,29,109.04,3062.45,2,2,2,Month-to-Month,Mailed Check,No,1
33,28,95.0,2609.67,2,4,3,Two Year,Mailed Check,Fiber Optic,0
20,35,110.82,3849.38,2,2,5,One Year,Bank Transfer,Fiber Optic,0
37,8,95.87,700.91,1,0,3,One Year,Credit Card,Fiber Optic,1
41,16,79.72,1169.34,1,2,1,Month-to-Month,Mailed Check,No,1
50,36,85.41,3089.24,1,2,3,Month-to-Month,Electronic Check,Fiber Optic,0
41,30,108.91,3269.59,1,0,1,Two Year,Credit Card,DSL,1
69,18,77.88,1440.79,1,1,5,Month-to-Month,Mailed Check,Fiber Optic,0
28,2,83.24,110.96,1,3,4,Month-to-Month,Electronic Check,Fiber Optic,0
66,49,35.65,1784.85,2,0,3,Month-to-Month,Mailed Check,No,0
25,4,67.39,346.03,1,1,4,One Year,Credit Card,DSL,0
53,7,91.64,654.59,4,1,1,Month-to-Month,Bank Transfer,DSL,1
55,39,47.09,1806.01,1,2,4,Month-to-Month,Bank Transfer,No,0
57,13,40.23,530.24,1,0,5,Month-to-Month,Credit Card,No,0
37,31,51.38,1559.89,1,0,5,Month-to-Month,Mailed Check,No,0
52,71,44.15,3093.44,1,0,3,Month-to-Month,Credit Card,Fiber Optic,0
65,63,41.49,2648.03,3,3,3,Month-to-Month,Electronic Check,Fiber Optic,0
42,56,62.49,3492.49,1,3,1,Two Year,Mailed Check,Fiber Optic,0
52,42,110.78,4713.01,4,0,4,Two Year,Credit Card,DSL,1
42,61,70.71,4291.19,3,2,3,Month-to-Month,Bank Transfer,Fiber Optic,0
46,42,38.79,1612.12,2,3,3,One Year,Credit Card,DSL,0
35,56,27.7,1522.87,2,5,5,One Year,Mailed Check,DSL,0
63,36,89.62,3170.31,2,3,2,Month-to-Month,Credit Card,No,0
35,68,58.28,4003.76,1,1,1,Month-to-Month,Bank Transfer,DSL,1
19,7,102.18,824.55,2,3,1,Month-to-Month,Electronic Check,No,1
52,54,85.95,4622.19,1,2,2,Month-to-Month,Credit Card,DSL,0
33,1,99.62,65.6,1,0,1,Month-to-Month,Credit Card,DSL,1
58,44,47.19,2039.09,2,2,3,Two Year,Electronic Check,Fiber Optic,0
53,45,89.24,3981.81,2,4,3,Month-to-Month,Credit Card,Fiber Optic,0
50,47,46.41,2263.76,3,3,2,One Year,Bank Transfer,Fiber Optic,0
21,13,113.91,1444.91,1,2,4,Month-to-Month,Electronic Check,No,1
50,22,83.64,1810.82,3,3,2,Month-to-Month,Bank Transfer,DSL,1
31,21,52.45,1039.43,1,3,4,Month-to-Month,Bank Transfer,No,0
38,9,46.95,437.23,1,1,3,Month-to-Month,Bank Transfer,DSL,0
65,26,39.09,1012.98,1,1,3,One Year,Mailed Check,No,1
37,9,89.46,748.28,2,5,5,One Year,Electronic Check,Fiber Optic,0
25,15,41.87,583.41,1,2,1,Month-to-Month,Mailed Check,No,1
24,10,79.53,871.95,2,4,3,One Year,Mailed Check,Fiber Optic,0
20,42,46.46,1952.96,3,4,5,Two Year,Credit Card,DSL,0
34,24,86.2,2073.88,2,2,4,One Year,Electronic Check,No,0
50,49,101.49,4978.29,2,2,3,Month-to-Month,Credit Card,DSL,0
65,26,97.8,2612.53,3,3,3,One Year,Mailed Check,DSL,0
29,37,96.09,3503.07,2,4,4,Month-to-Month,Credit Card,No,0
68,68,38.77,2616.54,2,1,5,Two Year,Bank Transfer,DSL,0
39,50,28.84,1433.55,1,2,1,Month-to-Month,Mailed Check,DSL,0
39,24,89.89,2071.3,3,1,1,Month-to-Month,Bank Transfer,Fiber Optic,0
